date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:29	290/290	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jul%202019%2006:00:31%20GMT	http://divergent.wp4life.com/robots.txt		(from )
11:00:29	33357/33357	---MCZ	200	added ('OK')	text/html	date:Fri,%2001%20Jul%202016%2020:29:50%20GMT	http://divergent.wp4life.com/	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/index.html	(from )
11:00:30	3405/3405	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:13%20GMT	http://divergent.wp4life.com/css/normalize.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/normalize.css	(from http://divergent.wp4life.com/)
11:00:31	69119/69119	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:07%20GMT	http://divergent.wp4life.com/css/animate.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/animate.css	(from http://divergent.wp4life.com/)
11:00:32	26711/26711	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:09%20GMT	http://divergent.wp4life.com/css/font-awesome.min.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/font-awesome.min.css	(from http://divergent.wp4life.com/)
11:00:32	37096/37096	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:19:49%20GMT	http://divergent.wp4life.com/css/style.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/style.css	(from http://divergent.wp4life.com/)
11:00:32	10998/10998	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:12%20GMT	http://divergent.wp4life.com/css/nerveslider.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/nerveslider.css	(from http://divergent.wp4life.com/)
11:00:33	9025/9025	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:15%20GMT	http://divergent.wp4life.com/css/tooltipster.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/tooltipster.css	(from http://divergent.wp4life.com/)
11:00:33	53690/53690	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:14%20GMT	http://divergent.wp4life.com/css/scrollbar.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/scrollbar.css	(from http://divergent.wp4life.com/)
11:00:33	19542/19542	---MCZ	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202016%2020:47:43%20GMT	http://divergent.wp4life.com/css/lightgallery.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/lightgallery.css	(from http://divergent.wp4life.com/)
11:00:34	11417/11417	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:08%20GMT	http://divergent.wp4life.com/css/colors.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/colors.css	(from http://divergent.wp4life.com/)
11:00:34	10321/10321	---MCZ	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202015%2017:47:06%20GMT	http://divergent.wp4life.com/css/media.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/media.css	(from http://divergent.wp4life.com/)
11:00:34	239/239	---MCZ	200	added ('OK')	text/css	date:Sat,%2031%20Oct%202015%2000:02:12%20GMT	http://divergent.wp4life.com/css/nojs.css	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/css/nojs.css	(from http://divergent.wp4life.com/)
11:00:38	106188/106188	---M--	200	added ('OK')	image/x-icon	date:Sat,%2031%20Oct%202015%2000:02:40%20GMT	http://divergent.wp4life.com/images/favicon.ico	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/images/favicon.ico	(from http://divergent.wp4life.com/)
11:01:17	266006/266006	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Oct%202015%2000:03:06%20GMT	http://divergent.wp4life.com/images/photos/img.jpg	C:/My%20Web%20Sites/My%20Portfolio/divergent.wp4life.com/images/photos/img.jpg	(from http://divergent.wp4life.com/)
